1001,2022-04-01,1918,1,Oil Change,50.00,1,50.00,50.00,7.50,57.50
1002,2022-04-01,1919,2,Brake Pads,100.00,2,200.00,200.00,30.00,230.00
1003,2022-04-02,1920,3,Tire Replacement,150.00,4,600.00,600.00,90.00,690.00
1004,2022-04-03,1921,4,Battery Replacement,120.00,1,120.00,120.00,18.00,138.00
1005,2022-04-03,1922,5,Engine Tune-up,200.00,1,200.00,200.00,30.00,230.00
1006,2022-04-04,1923,6,Transmission Repair,500.00,1,500.00,500.00,75.00,575.00
1007,2022-04-04,1918,7,Wiper Blades,25.00,2,50.00,50.00,7.50,57.50
1008,2022-04-05,1919,8,Headlights,75.00,2,150.00,150.00,22.50,172.50
1009,2022-04-05,1920,9,Air Filter,30.00,1,30.00,30.00,4.50,34.50
1010,2022-04-06,1921,10,Fuel Injection,180.00,1,180.00,180.00,27.00,207.00
1011,2022-04-07,1924,11,Oil Change,50.00,1,50.00,50.00,7.50,57.50
1012,2022-04-08,1925,12,Brake Pads,100.00,2,200.00,200.00,30.00,230.00
1013,2022-04-09,1926,13,Tire Replacement,150.00,4,600.00,600.00,90.00,690.00
1014,2022-04-10,1927,14,Battery Replacement,120.00,1,120.00,120.00,18.00,138.00
1015,2022-04-11,1928,15,Engine Tune-up,200.00,1,200.00,200.00,30.00,230.00
1016,2022-04-12,1929,16,Transmission Repair,500.00,1,500.00,500.00,75.00,575.00
1017,2022-04-13,1930,17,Wiper Blades,25.00,2,50.00,50.00,7.50,57.50
1018,2022-04-14,1931,18,Headlights,75.00,2,150.00,150.00,22.50,172.50
1019,2022-04-15,1932,19,Air Filter,30.00,1,30.00,30.00,4.50,34.50
1020,2022-04-16,1933,20,Fuel Injection,180.00,1,180.00,180.00,27.00,207.00
