143,2022-04-01,Monthly Stand Fees,1918,175.00,26.25,201.25
144,2022-04-01,Daily Rental Fee,1919,60.00,9.00,69.00
145,2022-04-01,Monthly Stand Fees,1920,175.00,26.25,201.25
146,2024-08-01,Monthly Stand Fees,1921,175.00,26.25,201.25
147,2022-04-01,Daily Rental Fee,1922,60.00,9.00,69.00
148,2022-04-01,Daily Rental Fee,1923,60.00,9.00,69.00
149,2022-04-02,Weekly Rental Fee,1919,300.00,45.00,345.00
150,2022-05-01,Monthly Stand Fees,1920,175.00,26.25,201.25
151,2022-05-01,Monthly Stand Fees,1921,175.00,26.25,201.25
152,2022-05-01,Monthly Stand Fees,1918,175.00,26.25,201.25
153,2022-04-03,Daily Rental Fee,1924,60.00,9.00,69.00
154,2022-04-03,Daily Rental Fee,1925,60.00,9.00,69.00
155,2024-08-01,Monthly Stand Fees,1926,175.00,26.25,201.25
156,2022-04-03,Monthly Stand Fees,1927,175.00,26.25,201.25
157,2022-04-03,Daily Rental Fee,1928,60.00,9.00,69.00
158,2022-04-03,Daily Rental Fee,1929,60.00,9.00,69.00
159,2022-04-04,Weekly Rental Fee,1930,300.00,45.00,345.00
160,2022-04-04,Monthly Stand Fees,1931,175.00,26.25,201.25
161,2022-04-04,Monthly Stand Fees,1932,175.00,26.25,201.25
162,2024-07-01,Monthly Stand Fees,1933,175.00,26.25,201.25
