6001,1001,1918,2022-04-01,Oil Change,50.00,7.50,57.50
6002,1002,1919,2022-04-01,Brake Pads,100.00,15.00,115.00
6003,1003,1920,2022-04-02,Tire Replacement,150.00,22.50,172.50
6004,1004,1921,2022-04-03,Battery Replacement,120.00,18.00,138.00
6005,1005,1922,2022-04-03,Engine Tune-up,200.00,30.00,230.00
6006,1006,1923,2022-04-04,Transmission Repair,500.00,75.00,575.00
6007,1007,1918,2022-04-04,Wiper Blades,25.00,3.75,28.75
6008,1008,1919,2022-04-05,Headlights,75.00,11.25,86.25
6009,1009,1920,2022-04-05,Air Filter,30.00,4.50,34.50
6010,1010,1921,2022-04-06,Fuel Injection,180.00,27.00,207.00
6011,1011,1924,2022-04-07,Oil Change,50.00,7.50,57.50
6012,1012,1925,2022-04-08,Brake Pads,100.00,15.00,115.00
6013,1013,1926,2022-04-09,Tire Replacement,150.00,22.50,172.50
6014,1014,1927,2022-04-10,Battery Replacement,120.00,18.00,138.00
6015,1015,1928,2022-04-11,Engine Tune-up,200.00,30.00,230.00
6016,1016,1929,2022-04-12,Transmission Repair,500.00,75.00,575.00
6017,1017,1930,2022-04-13,Wiper Blades,25.00,3.75,28.75
6018,1018,1931,2022-04-14,Headlights,75.00,11.25,86.25
6019,1019,1932,2022-04-15,Air Filter,30.00,4.50,34.50
6020,1020,1933,2022-04-16,Fuel Injection,180.00,27.00,207.00
